pair_id,bucket,pattern,similarity,preunic_name,maicao_name,preunic_brand,maicao_brand,preunic_volume_ml,maicao_volume_ml,preunic_concentration,maicao_concentration,only_preunic_words,only_maicao_words,suggested_label,suggested_reason,label,reviewer_note,preunic_url,maicao_url
22,one_sided_extra,,0.963,Perfume Mujer Lattafa Yara Tous EDP 100  Ml,Yara W.EDP SP100M,Lataffa,LATTAFA,100,100,edp,edp,lataffa tous,,different,Yara Tous es un flanker de Yara,different,,https://preunic.cl/products/perfume-mujer-lattafa-yara-tous-edp-100-ml,https://www.maicao.cl/yara-wedp-sp100m/CLMC_589472.html
23,one_sided_extra,collection_word,0.963,Perfume Mujer Etienne Essence EDP Carmin 80 Ml,Etienne Perfume Carmin 80 ml,Etienne,ETIENNE,80,80,edp,,essence,,same,'Essence' es la colección Etienne,same,,https://preunic.cl/products/perfume-mujer-etienne-essence-edp-carmin-80-ml,https://www.maicao.cl/etienne-perfume-carmin-80-ml/CLMC_570267.html
24,one_sided_extra,collection_word,0.962,Perfume Etienne Essence Rouge 200 Ml,Fragancia Rouge Edp 200ml,Etienne,ETIENNE,200,200,edp,edp,essence,,same,'Essence' es la colección Etienne,same,,https://preunic.cl/products/perfume-etienne-essence-rouge-200-ml,https://www.maicao.cl/fragancia-rouge-edp-200ml/CLMC_554013.html
25,one_sided_extra,,0.961,Set Coral Musk 100 ml + 55 ml + Crema,Musk 100 mL + Crema Manos 50/S,Coral,CORAL,100,100,,,,manos,different,sets con contenido distinto (100+55+crema vs 100+crema manos 50),different,,https://preunic.cl/products/set-coral-musk-100-ml-55-ml-crema,https://www.maicao.cl/musk-100-ml-crema-manos-50s/CLMC_552238.html
26,one_sided_extra,,0.961,Perfume Mujer Aura Violet Etienne 100 Ml,perfume EDP Aura 100ml,Etienne,ETIENNE,100,100,edp,edp,violet,,different,Aura Violet vs Aura,different,,https://preunic.cl/products/perfume-mujer-aura-violet-etienne-100-ml,https://www.maicao.cl/perfume-edp-aura-100ml/CLMC_554011.html
27,one_sided_extra,,0.956,Body Mist Petrizzio Ready To Party 200 Ml,Hair & Body Mist Ready To Party,Petrizzio,PETRIZZIO,200,,,,,hair,same_fragrance_unknown_size,misma fragancia; Maicao sin volumen,same_fragrance_unknown_size,,https://preunic.cl/products/body-mist-petrizzio-ready-to-party-200-ml,https://www.maicao.cl/hair-and-body-mist-ready-to-party/CLMC_561421.html
28,one_sided_extra,,0.954,Shakira Dance Midnight Muse EDT 50 ML,Dance Midnight Edt 50 mL Fragancia Mujer,Shakira,SHAKIRA,50,50,edt,edt,muse,,different,Dance Midnight Muse vs Dance Midnight,different,,https://preunic.cl/products/shakira-dance-midnight-muse-edt-50-ml,https://www.maicao.cl/dance-midnight-edt-50-ml-fragancia-mujer/CLMC_384367.html
29,one_sided_extra,,0.954,P.hilton Body Mist X236ml Can Can,Perfume Corporal Body Mist Spray 236 mL,Paris Hilton,PARIS HILTON,236,236,edt,,can,,unsure,Maicao no nombra la fragancia (genérico),different,,https://preunic.cl/products/p-hilton-body-mist-x236ml-can-can,https://www.maicao.cl/perfume-corporal-body-mist-spray-236-ml/CLMC_283840.html
30,one_sided_extra,,0.952,Perfume Millionaire Red Intense 200 Ml,Fragancia Red Intense Edp 200ml,Millionare,MILLIONAIRE,200,200,,edp,millionare,,same,Red Intense 200; 'millionare' es typo de marca,same,,https://preunic.cl/products/perfume-millionaire-red-intense-200-ml,https://www.maicao.cl/fragancia-red-intense-edp-200ml/CLMC_554016.html
31,one_sided_extra,,0.952,Agua de perfume Acqua,Eau De Parfum Acqua 100 mL,Eminence,EMINENCE,,100,edp,edp,agua,,same_fragrance_unknown_size,Acqua EDP; Preunic sin volumen (Maicao tiene 100 y 200),same_fragrance_unknown_size,,https://preunic.cl/products/agua-de-perfume-acqua,https://www.maicao.cl/eau-de-parfum-acqua-100-ml/CLMC_251964.html
32,one_sided_extra,,0.951,Eau de Toilette KING ABSOLUTE,King Seduction Absolute Eau de Toilette de 50 mL,Antonio Banderas,ANTONIO BANDERAS,,50,edt,edt,,seduction,same_fragrance_unknown_size,King of Seduction Absolute; Preunic sin volumen,same_fragrance_unknown_size,,https://preunic.cl/products/eau-de-toilette-king-absolute,https://www.maicao.cl/king-seduction-absolute-eau-de-toilette-de-50-ml/CLMC_273900.html
33,one_sided_extra,,0.949,Perfume Mujer Ariana Grande Cloud Pink EDP 30 Ml,Ariana Grande Cloud EDP 30 ML (M),Ariana Grande,ARIANA GRANDE,30,30,edp,edp,pink,,different,Cloud Pink vs Cloud,different,,https://preunic.cl/products/perfume-mujer-ariana-grande-cloud-pink-edp-30-ml,https://www.maicao.cl/ariana-grande-cloud-edp-30-ml-m/CLMC_560588.html
34,one_sided_extra,,0.948,Body Mist Petrizzio Caramel 200 Ml,Fragancia Hair & Body Mist Caramel,Petrizzio,PETRIZZIO,200,,parfum,,,hair,same_fragrance_unknown_size,misma fragancia; Maicao sin volumen,same_fragrance_unknown_size,,https://preunic.cl/products/body-mist-petrizzio-caramel-200-ml,https://www.maicao.cl/fragancia-hair-and-body-mist-caramel/CLMC_577013.html
35,one_sided_extra,,0.948,Perfume Mujer She Is EDP 100 ml,Perfume Union EDP 100 ml,Benjamin Vicuña,BENJAMIN VICUÑA,100,100,edp,edp,,union,different,She Is vs Union,different,,https://preunic.cl/products/perfume-mujer-she-is-edp-100-ml,https://www.maicao.cl/perfume-union-edp-100-ml/CLMC_556462.html
36,one_sided_extra,,0.948,Body Mist ARIANA GRANDE Sweet LIKE CANDY 236 Ml,ARIANA GR.SWEE.LIK.SP.236,Ariana Grande,ARIANA GRANDE,236,,,,body mist,,same,abreviatura expandida; Sweet Like Candy body mist 236,same,,https://preunic.cl/products/body-mist-ariana-grande-sweet-like-candy-236-ml,https://www.maicao.cl/ariana-grsweeliksp236/CLMC_574686.html
37,one_sided_extra,,0.948,Perfume Shakira 50 ml,Perfume Mujer Rojo EDP 50ml,Shakira,SHAKIRA,50,50,edp,edp,,rojo,unsure,Preunic no nombra la variante (Rojo/Fucsia/Amarillo),different,,https://preunic.cl/products/perfume-shakira,https://www.maicao.cl/perfume-mujer-rojo-edp-50ml/CLMC_554047.html
38,one_sided_extra,,0.947,Perfume Shakira 50 ml,Perfume Mujer Fucsia EDP 50ml,Shakira,SHAKIRA,50,50,edp,edp,,fucsia,unsure,Preunic no nombra la variante (Rojo/Fucsia/Amarillo),different,,https://preunic.cl/products/perfume-shakira,https://www.maicao.cl/perfume-mujer-fucsia-edp-50ml/CLMC_558819.html
39,one_sided_extra,,0.946,Perfume Shakira 50 ml,Shakira Perfume Mujer Amarillo EDP 50ml,Shakira,SHAKIRA,50,50,edp,edp,,amarillo,unsure,Preunic no nombra la variante (Rojo/Fucsia/Amarillo),different,,https://preunic.cl/products/perfume-shakira,https://www.maicao.cl/shakira-perfume-mujer-amarillo-edp-50ml/CLMC_570596.html
40,one_sided_extra,,0.945,Eau de Toilette KING OF SEDUCTION,Power Of Seduction Eau de Toilette de 50 mL,Antonio Banderas,ANTONIO BANDERAS,,50,edt,edt,,power,different,King of Seduction vs Power of Seduction,different,,https://preunic.cl/products/eau-de-toilette-king-of-seduction,https://www.maicao.cl/power-of-seduction-eau-de-toilette-de-50-ml/CLMC_291976.html
41,one_sided_extra,,0.945,Eau de Toilette HER SECRET TEMPTATION,The Secret Eau de Toilette de 50 mL,Antonio Banderas,ANTONIO BANDERAS,,50,edt,edt,temptation,,different,Her Secret Temptation vs The Secret,different,,https://preunic.cl/products/eau-de-toilette-her-secret-temptation,https://www.maicao.cl/the-secret-eau-de-toilette-de-50-ml/CLMC_262215.html
42,one_sided_extra,,0.944,shakira midnight 50 ml,Fragancia Shakira Dance Red Midnight  Edt 50 mL,Shakira,SHAKIRA,50,50,edt,edt,,dance red,unsure,'shakira midnight' puede ser Dance Midnight o Dance Red Midnight,different,,https://preunic.cl/products/shakira-midnight-50-ml,https://www.maicao.cl/fragancia-shakira-dance-red-midnight-edt-50-ml/CLMC_391624.html
43,one_sided_extra,,0.944,Colonia aroma musk,Colonia Musk 75 mL,Denim,DENIM,,75,cologne,cologne,aroma,,same_fragrance_unknown_size,Colonia Musk; Preunic sin volumen,same_fragrance_unknown_size,,https://preunic.cl/products/colonia-aroma-musk,https://www.maicao.cl/colonia-musk-75-ml/CLMC_165130.html
44,one_sided_extra,,0.943,Skr Perfume Dance Red Midnight 2021 Edt 50Ml,Dance Midnight Edt 50 mL Fragancia Mujer,Shakira,SHAKIRA,50,50,edt,edt,red,,different,Dance Red Midnight vs Dance Midnight,different,,https://preunic.cl/products/skr-perfume-dance-red-midnight-2021-edt-50ml,https://www.maicao.cl/dance-midnight-edt-50-ml-fragancia-mujer/CLMC_384367.html
45,one_sided_extra,,0.943,shakira midnight 50 ml,Dance Midnight Edt 50 mL Fragancia Mujer,Shakira,SHAKIRA,50,50,edt,edt,,dance,same,'shakira midnight' = Dance Midnight (más probable),same,,https://preunic.cl/products/shakira-midnight-50-ml,https://www.maicao.cl/dance-midnight-edt-50-ml-fragancia-mujer/CLMC_384367.html
46,one_sided_extra,,0.943,Agua de perfume Acqua,Perfume Acqua 200ml,Eminence,EMINENCE,,200,edp,,agua,,same_fragrance_unknown_size,Acqua; Preunic sin volumen,same_fragrance_unknown_size,,https://preunic.cl/products/agua-de-perfume-acqua,https://www.maicao.cl/perfume-acqua-200ml/CLMC_539427.html
47,one_sided_extra,,0.942,Eau de Toilette QUEEN OF SEDUCTION,Power Of Seduction Eau de Toilette de 50 mL,Antonio Banderas,ANTONIO BANDERAS,,50,edt,edt,,power,different,Queen of Seduction vs Power of Seduction,different,,https://preunic.cl/products/eau-de-toilette-queen-of-seduction,https://www.maicao.cl/power-of-seduction-eau-de-toilette-de-50-ml/CLMC_291976.html
48,one_sided_extra,,0.942,Perfume Hombre He Is EDP 100 ml,Perfume Union EDP 100 ml,Benjamin Vicuña,BENJAMIN VICUÑA,100,100,edp,edp,,union,different,He Is vs Union,different,,https://preunic.cl/products/perfume-hombre-he-is-edp-100-ml,https://www.maicao.cl/perfume-union-edp-100-ml/CLMC_556462.html
49,one_sided_extra,,0.94,Body Mist Petrizzio Take A Break 200 Ml,Hair & Body Mist Take a Break,Petrizzio,PETRIZZIO,200,,,,,hair,same_fragrance_unknown_size,misma fragancia; Maicao sin volumen,same_fragrance_unknown_size,,https://preunic.cl/products/body-mist-petrizzio-take-a-break-200-ml,https://www.maicao.cl/hair-and-body-mist-take-a-break/CLMC_561417.html
50,one_sided_extra,,0.94,Perfume Bv Season Two 100 Ml,Perfume Mujer She Is EDP 100 ml,Benjamín Vicuña,BENJAMIN VICUÑA,100,100,,edp,season two,,different,Season Two vs She Is,different,,https://preunic.cl/products/bv-season-two-100-ml,https://www.maicao.cl/perfume-mujer-she-is-edp-100-ml/CLMC_578354.html
51,one_sided_extra,,0.94,Eau de Toilette HER SECRET TEMPTATION,The Secret Eau de Toilette de 200 mL,Antonio Banderas,ANTONIO BANDERAS,,200,edt,edt,temptation,,different,Her Secret Temptation vs The Secret,different,,https://preunic.cl/products/eau-de-toilette-her-secret-temptation,https://www.maicao.cl/the-secret-eau-de-toilette-de-200-ml/CLMC_274468.html
52,one_sided_extra,,0.939,Natalie Body Mist Kokone,Body Mist Kokone Panda 250mL,NATALIE,NATALIE,,250,,,,panda,same_fragrance_unknown_size,Kokone (Panda es descriptor); Preunic sin volumen,same_fragrance_unknown_size,,https://preunic.cl/products/natalie-body-mist-kokone,https://www.maicao.cl/body-mist-kokone-panda-250ml/CLMC_392374.html
53,one_sided_extra,,0.936,Body Splash Hot Sensation 250 Ml,Splash Hot Sensation,Plaisance,PLAISANCE,250,,,,body,,same_fragrance_unknown_size,Hot Sensation splash; Maicao sin volumen,same_fragrance_unknown_size,,https://preunic.cl/products/body-splash-hot-sensation-250-ml,https://www.maicao.cl/splash-hot-sensation/CLMC_544814.html
54,one_sided_extra,,0.935,Fragancia Etienne Essence EDP Light Blue Infinity 200Ml,Perfume Light Blue 200ml,Etienne,ETIENNE,200,200,edp,,essence infinity,,unsure,Light Blue Infinity vs Light Blue: ¿flanker o mismo?,same,,https://preunic.cl/products/fragancia-etienne-essence-edp-light-blue-infinity-200ml,https://www.maicao.cl/perfume-light-blue-200ml/CLMC_539430.html
55,one_sided_extra,,0.934,shakira midnight 50 ml,Dance Midnight Muse 2022 EDT 50ml,Shakira,SHAKIRA,50,50,edt,edt,,dance muse,different,Dance Midnight vs Dance Midnight Muse,different,,https://preunic.cl/products/shakira-midnight-50-ml,https://www.maicao.cl/dance-midnight-muse-2022-edt-50ml/CLMC_536017.html
56,one_sided_extra,,0.934,Perfume Benjamin Vicuña Union EDP 100 Ml,Perfume Mujer She Is EDP 100 ml,Benjamín Vicuña,BENJAMIN VICUÑA,100,100,edp,edp,union,,different,Union vs She Is,different,,https://preunic.cl/products/perfume-benjamin-vicuna-union-edp-100-ml,https://www.maicao.cl/perfume-mujer-she-is-edp-100-ml/CLMC_578354.html
57,one_sided_extra,,0.934,Colonia BOTANICALS RASPBERRY,Colonia Spray Raspberry 205 mL,Natalie,NATALIE,,205,cologne,cologne,botanicals,,same_fragrance_unknown_size,Botanicals Raspberry; Preunic sin volumen,same_fragrance_unknown_size,,https://preunic.cl/products/colonia-botanicals-raspberry,https://www.maicao.cl/colonia-spray-raspberry-205-ml/CLMC_261262.html
58,one_sided_extra,,0.931,Perfume Bv Season Two 100 Ml,Perfume Hombre He Is Edp 100 Ml,Benjamín Vicuña,BENJAMIN VICUÑA,100,100,,edp,season two,,different,Season Two vs He Is,different,,https://preunic.cl/products/bv-season-two-100-ml,https://www.maicao.cl/perfume-hombre-he-is-edp-100-ml/CLMC_578353.html
59,one_sided_extra,,0.929,Eau de Toilette KING ABSOLUTE,King Seduction Absolute For Men Eau De Toilette Spray 200 mL,Antonio Banderas,ANTONIO BANDERAS,,200,edt,edt,,seduction,same_fragrance_unknown_size,King of Seduction Absolute; Preunic sin volumen,same_fragrance_unknown_size,,https://preunic.cl/products/eau-de-toilette-king-absolute,https://www.maicao.cl/king-seduction-absolute-for-men-eau-de-toilette-spray-200-ml/CLMC_275956.html
60,one_sided_extra,,0.929,Colonia BOTANICALS CHERRY,Colonia Spray Cherry 205 mL,Natalie,NATALIE,,205,cologne,cologne,botanicals,,same_fragrance_unknown_size,Botanicals Cherry; Preunic sin volumen,same_fragrance_unknown_size,,https://preunic.cl/products/colonia-botanicals-cherry,https://www.maicao.cl/colonia-spray-cherry-205-ml/CLMC_261257.html
61,one_sided_extra,,0.929,Perfume Benjamin Vicuña Union EDP 100 Ml,Perfume Hombre He Is Edp 100 Ml,Benjamín Vicuña,BENJAMIN VICUÑA,100,100,edp,edp,union,,different,Union vs He Is,different,,https://preunic.cl/products/perfume-benjamin-vicuna-union-edp-100-ml,https://www.maicao.cl/perfume-hombre-he-is-edp-100-ml/CLMC_578353.html
62,one_sided_extra,,0.928,Perfume Benjamin Vicuña Season One 100 ml,Perfume Mujer She Is EDP 100 ml,Benjamín Vicuña,BENJAMIN VICUÑA,100,100,,edp,one season,,different,Season One vs She Is,different,,https://preunic.cl/products/bv-season-one-100-ml,https://www.maicao.cl/perfume-mujer-she-is-edp-100-ml/CLMC_578354.html
63,one_sided_extra,,0.928,Perfume Mujer Glow Edt 100 Ml Itzy,Eau de Toilette Glow MicrÓfono 100 ml,Itzy,ITZY,100,100,edt,edt,,microfono,unsure,'Glow Micrófono' puede ser edición con envase especial,same,,https://preunic.cl/products/perfume-mujer-glow-edt-100-ml-itzy,https://www.maicao.cl/eau-de-toilette-glow-microfono-100-ml/CLMC_399963.html
64,one_sided_extra,,0.926,Colonia aroma original,Denim Colonia Original 75 mL.,Denim,DENIM,,75,cologne,cologne,aroma,,unsure,no queda claro que Preunic 'aroma original' sea Denim,same,,https://preunic.cl/products/colonia-aroma-original,https://www.maicao.cl/denim-colonia-original-75-ml/CLMC_165126.html
65,one_sided_extra,,0.924,Perfume EDC,Perfume Classic 200ml,Eminence,EMINENCE,,200,cologne,,,classic,unsure,Preunic 'Perfume EDC' no nombra la fragancia,different,,https://preunic.cl/products/perfume-edc,https://www.maicao.cl/perfume-classic-200ml/CLMC_539409.html
66,one_sided_extra,,0.915,Body Splash Hot Excess 250 ml,Fragancia Hot Excess,Plaisance,PLAISANCE,250,,,,body splash,,same_fragrance_unknown_size,Hot Excess; Maicao sin volumen,same_fragrance_unknown_size,,https://preunic.cl/products/body-splash-hot-excess-250-ml,https://www.maicao.cl/fragancia-hot-excess/CLMC_544813.html
67,one_sided_extra,,0.911,Perfume EDC,Perfume Acqua 200ml,Eminence,EMINENCE,,200,cologne,,,acqua,unsure,Preunic 'Perfume EDC' no nombra la fragancia,different,,https://preunic.cl/products/perfume-edc,https://www.maicao.cl/perfume-acqua-200ml/CLMC_539427.html
68,one_sided_extra,,0.91,Perfume Mujer Halloween Blue Drop Edt 30 Ml,Eau De Toilette con Vaporizador 30 mL,Halloween,HALLOWEEN,30,30,edt,edt,blue drop,,unsure,Maicao no nombra la fragancia (Halloween genérico),different,,https://preunic.cl/products/perfume-mujer-halloween-blue-drop-edt-30-ml,https://www.maicao.cl/eau-de-toilette-con-vaporizador-30-ml/CLMC_44047.html
69,one_sided_extra,,0.909,Perfume Mujer Hot Sensation Plaisance,Splash Hot Sensation,Plaisance,PLAISANCE,,,edp,,,splash,different,perfume vs splash de Hot Sensation,different,,https://preunic.cl/products/perfume-hot-sensation-para-mujer,https://www.maicao.cl/splash-hot-sensation/CLMC_544814.html
70,one_sided_extra,,0.909,Colonia classic para mujer,Colonia Classic Splash Cologne 250 mL,Plaisance,PLAISANCE,,250,cologne,cologne,,splash,same_fragrance_unknown_size,Colonia Classic; Preunic sin volumen,same_fragrance_unknown_size,,https://preunic.cl/products/colonia-classic-para-mujer,https://www.maicao.cl/colonia-classic-splash-cologne-250-ml/CLMC_271684.html
71,one_sided_extra,,0.908,Colonia moments para mujer,Colonia Moments Splash Cologne 250 mL,Plaisance,PLAISANCE,,250,cologne,cologne,,splash,same_fragrance_unknown_size,Colonia Moments; Preunic sin volumen,same_fragrance_unknown_size,,https://preunic.cl/products/colonia-moments-para-mujer,https://www.maicao.cl/colonia-moments-splash-cologne-250-ml/CLMC_271681.html
72,one_sided_extra,,0.907,Perfume LIGHT BLUE,Eau De Parfum Blue 55 mL,Etienne,ETIENNE,,55,,edp,light,,unsure,"Light Blue vs Blue (Etienne): nombres parecidos, no confirmable",different,,https://preunic.cl/products/perfume-light-blue,https://www.maicao.cl/eau-de-parfum-blue-55-ml/CLMC_266956.html
73,one_sided_extra,,0.899,Estuche Perfume Hombre Quorum 100 Ml + Desodorante 150 Ml,Estche Edt Eau de Toilette de 100 mL,Quorum,QUORUM,100,100,edt,edt,desodorante,,unsure,ambos estuches Quorum; contenido de Maicao no especificado,different,,https://preunic.cl/products/estuche-perfume-hombre-quorum-100-ml-desodorante-150-ml,https://www.maicao.cl/estche-edt-eau-de-toilette-de-100-ml/CLMC_124115.html
74,one_sided_extra,,0.895,Perfume The Secret,Eau De Toilette Her Secret Desire 50 mL,Antonio Banderas,ANTONIO BANDERAS,,50,edt,edt,,desire,different,The Secret vs Her Secret Desire,different,,https://preunic.cl/products/perfume-the-secret,https://www.maicao.cl/eau-de-toilette-her-secret-desire-50-ml/CLMC_295571.html
