sample_id,kind,similarity,preunic_name,maicao_name,preunic_brand,maicao_brand,volume_ml,preunic_concentration,maicao_concentration,label,reviewer_note,preunic_url,maicao_url,population
12,same_name,0.984,EDP Sabrina Carpenter Caramel 30ML,Sabrina Carpenter Caramel Dream EDP 30 ML,Sabrina Carpenter,Sabrina Carpenter,30,edp,edp,,,https://preunic.cl/products/edp-sabrina-carpenter-caramel-30ml,https://www.maicao.cl/sabrina-carpenter-caramel-dream-edp-30-ml/CLMC_575880.html,at_sample_time
13,same_name,0.998,EDP Sabrina Carpenter Cherry Baby 30ML,Sabrina Carpenter Cherry Baby EDP 30 ML,Sabrina Carpenter,Sabrina Carpenter,30,edp,edp,,,https://preunic.cl/products/edp-sabrina-carpenter-cherry-baby-30ml,https://www.maicao.cl/sabrina-carpenter-cherry-baby-edp-30-ml/CLMC_575886.html,at_sample_time
14,same_name,0.998,EDP Shakira Rojo Elixir 50 ml,Shakira Rojo Elixir Edp 50Ml,Shakira,SHAKIRA,50,edp,edp,,,https://preunic.cl/products/edp-shakira-rojo-elixir-50-ml,https://www.maicao.cl/shakira-rojo-elixir-edp-50ml/CLMC_585039.html,at_sample_time
15,same_name,0.924,ETIENNE ESSENCE EDP ROSE 100ML,Rose Eau De Parfum Con Vaporizador Spray 100 mL,Etienne,ETIENNE,100,edp,edp,,,https://preunic.cl/products/etienne-essence-edp-rose-100ml,https://www.maicao.cl/rose-eau-de-parfum-con-vaporizador-spray-100-ml/CLMC_296159.html,at_sample_time
16,same_name,0.999,Eau de Toilette Gotas de Color de 50ml,Eau de Toilette Gotas de color 50 mL,Agatha Ruiz de la Prada,AGATHA RUIZ DE LA PRADA,50,edt,edt,,,https://preunic.cl/products/eau-de-toilette-gotas-de-color-de-50ml,https://www.maicao.cl/eau-de-toilette-gotas-de-color-50-ml/CLMC_255753.html,at_sample_time
17,same_name,0.962,Eminence Ocean Sense 100ml EDP,Eau De Parfum Spray Ocean Sense 100 mL,EMINENCE,EMINENCE,100,edp,edp,,,https://preunic.cl/products/eminence-ocean-sense-100ml-edp,https://www.maicao.cl/eau-de-parfum-spray-ocean-sense-100-ml/CLMC_298852.html,at_sample_time
18,same_name,0.928,Estuche Perfume Mujer Shakira Dance Edt 50Ml + Loción Corporal 75Ml,Dance Eau De Toilette Natural Spray 50 mL + Body Lotion 75 mL,Shakira,SHAKIRA,50,edt,edt,,,https://preunic.cl/products/estuche-perfume-mujer-shakira-dance-edt-50ml-locion-corporal-75ml,https://www.maicao.cl/dance-eau-de-toilette-natural-spray-50-ml-body-lotion-75-ml/CLMC_295429.html,at_sample_time
19,same_name,0.933,Etienne Essence Edp Blanc 100Ml,Eau De Parfum Blanc Spray con Vaporizador 100mL,Etienne,ETIENNE,100,edp,edp,,,https://preunic.cl/products/etienne-essence-edp-blanc-100ml,https://www.maicao.cl/eau-de-parfum-blanc-spray-con-vaporizador-100ml/CLMC_392016.html,at_sample_time
20,same_name,0.965,Etienne Essence Edp Elle 100Ml,Eau De Parfum Elle 100 ml,Etienne,ETIENNE,100,edp,edp,,,https://preunic.cl/products/etienne-essence-edp-elle-100ml,https://www.maicao.cl/eau-de-parfum-elle-100-ml/CLMC_401675.html,at_sample_time
21,same_name,0.984,Etienne essence eau de parfum rouge 100 ML,Eau De Parfum Spray Rouge 100 mL,Etienne,ETIENNE,100,edp,edp,,,https://preunic.cl/products/etienne-essence-eau-de-parfum-rouge-100-ml,https://www.maicao.cl/eau-de-parfum-spray-rouge-100-ml/CLMC_298853.html,at_sample_time
22,same_name,0.960,Fragancia Eminence EDC Classic 200 Ml,Perfume Classic 200ml,Eminence,EMINENCE,200,cologne,,,,https://preunic.cl/products/fragancia-eminence-edc-classic-200-ml,https://www.maicao.cl/perfume-classic-200ml/CLMC_539409.html,at_sample_time
23,same_name,0.966,Fragancia Eminence EDP Acqua 200 Ml,Perfume Acqua 200ml,Eminence,EMINENCE,200,edp,,,,https://preunic.cl/products/fragancia-eminence-edp-acqua-200-ml,https://www.maicao.cl/perfume-acqua-200ml/CLMC_539427.html,at_sample_time
24,same_name,0.955,Fragancia Millionaire EDP Gold Deluxe 200 Ml,Perfume Gold Deluxe 200ml,Millionaire,MILLIONAIRE,200,edp,,,,https://preunic.cl/products/fragancia-millionaire-edp-gold-deluxe-200-ml,https://www.maicao.cl/perfume-gold-deluxe-200ml/CLMC_539431.html,at_sample_time
25,same_name,0.978,Fragancia Mujer Jeans Les Pins Agua de Limoncello EDT 100 Ml,Fragancia Agua de Limoncello EDT 100ml,Jeans Les Pins,JEAN LES PINS,100,edt,edt,,,https://preunic.cl/products/fragancia-mujer-jeans-les-pins-agua-de-limoncello-edt-100-ml,https://www.maicao.cl/fragancia-agua-de-limoncello-edt-100ml/CLMC_561548.html,at_sample_time
26,same_name,0.977,Fragancia Mujer Jeans Les Pins Agua de Magnolia EDT 100 Ml,Fragancia Agua de Magnolia EDT 100 ml,Jeans Les Pins,JEAN LES PINS,100,edt,edt,,,https://preunic.cl/products/fragancia-mujer-jeans-les-pins-agua-de-magnolia-edt-100-ml,https://www.maicao.cl/fragancia-agua-de-magnolia-edt-100-ml/CLMC_561546.html,at_sample_time
27,same_name,0.973,Fragancia The Icon Femenino EDP 50 ML,Perfume The Icon Femenino 50 ml,Antonio Banderas,ANTONIO BANDERAS,50,edp,,,,https://preunic.cl/products/fragancia-the-icon-femenino-edp-50-ml,https://www.maicao.cl/perfume-the-icon-femenino-50-ml/CLMC_544926.html,at_sample_time
28,same_name,0.956,Her Secret Desire EDT 50ml - Perfume Mujer,Eau De Toilette Her Secret Desire 50 mL,Antonio Banderas,ANTONIO BANDERAS,50,edt,edt,,,https://preunic.cl/products/her-secret-desire-edt-50ml-perfume-mujer,https://www.maicao.cl/eau-de-toilette-her-secret-desire-50-ml/CLMC_295571.html,at_sample_time
29,same_name,0.950,MILLIONAIRE EDP RED INTENSE 95ML,Red Intense Eau De Parfum Spray 95 mL,MILLIONAIRE,MILLIONAIRE,95,edp,edp,,,https://preunic.cl/products/millionaire-edp-red-intense-95ml,https://www.maicao.cl/red-intense-eau-de-parfum-spray-95-ml/CLMC_296157.html,at_sample_time
30,same_name,0.973,P.hilton Body Mist X236ml Paris,Perfume Corporal Body Mist Spray 236 mL,Paris Hilton,PARIS HILTON,236,edt,,,,https://preunic.cl/products/p-hilton-body-mist-x236ml-paris,https://www.maicao.cl/perfume-corporal-body-mist-spray-236-ml/CLMC_283840.html,at_sample_time
31,same_name,0.965,Pefume Shakira Rojo Edp 50 Ml,Perfume Mujer Rojo EDP 50ml,Shakira,SHAKIRA,50,edp,edp,,,https://preunic.cl/products/perfume-shakira-rojo-edp-50-ml,https://www.maicao.cl/perfume-mujer-rojo-edp-50ml/CLMC_554047.html,at_sample_time
32,same_name,0.986,Perfume ARIANA GRANDE MOONLIGHT EDP 30 Ml,Ariana Grande Moonlight EDP 30 ml,Ariana Grande,ARIANA GRANDE,30,edp,edp,,,https://preunic.cl/products/perfume-ariana-grande-moonlight-edp-30-ml,https://www.maicao.cl/ariana-grande-moonlight-edp-30-ml/CLMC_576769.html,at_sample_time
33,same_name,0.979,Perfume ARIANA GRANDE THANK U NEXT EDP 30ml,Ariana Grande Thank U Next EDP 30ml (M),Ariana Grande,ARIANA GRANDE,30,edp,edp,,,https://preunic.cl/products/perfume-ariana-grande-thank-u-next-edp-30ml,https://www.maicao.cl/ariana-grande-thank-u-next-edp-30ml-m/CLMC_560591.html,at_sample_time
34,same_name,0.976,Perfume Ariana Grande CLOUD EDP 30 ML,Ariana Grande Cloud EDP 30 ML (M),Ariana Grande,ARIANA GRANDE,30,edp,edp,,,https://preunic.cl/products/perfume-ariana-grande-cloud-edp-30-ml,https://www.maicao.cl/ariana-grande-cloud-edp-30-ml-m/CLMC_560588.html,at_sample_time
35,same_name,0.989,Perfume Benjamin Vicuña Union EDP 100 Ml,Perfume Union EDP 100 ml,Benjamín Vicuña,BENJAMIN VICUÑA,100,edp,edp,,,https://preunic.cl/products/perfume-benjamin-vicuna-union-edp-100-ml,https://www.maicao.cl/perfume-union-edp-100-ml/CLMC_556462.html,at_sample_time
36,same_name,0.958,Perfume Classic para mujer de 100ml,Classic Eau de Parfum de 100 mL,Plaisance,PLAISANCE,100,edp,edp,,,https://preunic.cl/products/perfume-classic-para-mujer,https://www.maicao.cl/classic-eau-de-parfum-de-100-ml/CLMC_118008.html,at_sample_time
37,same_name,0.997,Perfume Etienne Doré Vanille EDP 100ML,Perfume EDP Doré Vanille 100Ml Etienne,Etienne,ETIENNE,100,edp,edp,,,https://preunic.cl/products/perfume-etienne-dore-vanille-edp-100ml,https://www.maicao.cl/perfume-edp-dore-vanille-100ml-etienne/CLMC_589085.html,at_sample_time
38,same_name,0.981,Perfume Etienne Essence Aura 100 Ml,perfume EDP Aura 100ml,Etienne,ETIENNE,100,,edp,,,https://preunic.cl/products/perfume-etienne-essence-aura-100-ml,https://www.maicao.cl/perfume-edp-aura-100ml/CLMC_554011.html,at_sample_time
39,same_name,0.962,Perfume Etienne Essence Rouge 200 Ml,Fragancia Rouge Edp 200ml,Etienne,ETIENNE,200,edp,edp,,,https://preunic.cl/products/perfume-etienne-essence-rouge-200-ml,https://www.maicao.cl/fragancia-rouge-edp-200ml/CLMC_554013.html,at_sample_time
40,same_name,0.916,Perfume Halloween EDT 30ML,Eau De Toilette con Vaporizador 30 mL,HALLOWEEN,HALLOWEEN,30,edt,edt,,,https://preunic.cl/products/perfume-halloween-edt-30ml,https://www.maicao.cl/eau-de-toilette-con-vaporizador-30-ml/CLMC_44047.html,at_sample_time
41,same_name,0.986,Perfume Hombre Banderas Icon Man Supreme 50 ML,Banderas Perfume Hombre The Icon Supreme EDP 50ml,Antonio Banderas,ANTONIO BANDERAS,50,,edp,,,https://preunic.cl/products/perfume-hombre-banderas-icon-man-supreme-50-ml,https://www.maicao.cl/banderas-perfume-hombre-the-icon-supreme-edp-50ml/CLMC_570595.html,at_sample_time
42,same_name,1.000,Perfume Hombre He Is EDP 100 ml,Perfume Hombre He Is Edp 100 Ml,Benjamin Vicuña,BENJAMIN VICUÑA,100,edp,edp,,,https://preunic.cl/products/perfume-hombre-he-is-edp-100-ml,https://www.maicao.cl/perfume-hombre-he-is-edp-100-ml/CLMC_578353.html,at_sample_time
43,same_name,0.955,Perfume Hombre Millionaire EDP Red Elixir 100 Ml,Millionaire Red Elixir 100ml,Millionaire,MILLIONAIRE,100,edp,,,,https://preunic.cl/products/perfume-hombre-millionaire-edp-red-elixir-100-ml,https://www.maicao.cl/millionaire-red-elixir-100ml/CLMC_570266.html,at_sample_time
44,same_name,0.998,Perfume Hombre Piero Butti Vendetta Gold EDP 100 ml,Perfume Hombre Vendetta Gold EDP 100ml,Piero Butti,PIERO BUTTI,100,edp,edp,,,https://preunic.cl/products/perfume-hombre-piero-butti-vendetta-gold-edp-100-ml,https://www.maicao.cl/perfume-hombre-vendetta-gold-edp-100ml/CLMC_570233.html,at_sample_time
45,same_name,0.966,Perfume Hombre Piero Red Deep Edp 100 Ml Piero Butti,Eau De Parfum Red Deep 100 ml,Piero Butti,PIERO BUTTI,100,edp,edp,,,https://preunic.cl/products/perfume-hombre-piero-red-deep-edp-100-ml-piero-butti,https://www.maicao.cl/eau-de-parfum-red-deep-100-ml/CLMC_530013.html,at_sample_time
46,same_name,0.983,Perfume Hombre Seduction X Eau de Parfum for Men Banderas 50 ml,Perfume Hombre Banderas  Seduction X  50 Ml,Antonio Banderas,ANTONIO BANDERAS,50,edp,,,,https://preunic.cl/products/perfume-hombre-seduction-x-eau-de-parfum-for-men-banderas-50-ml,https://www.maicao.cl/perfume-hombre-banderas-seduction-x-50-ml/CLMC_586053.html,at_sample_time
47,same_name,0.999,Perfume Itzy Hello Kitty EDT 100 ml,Perfume Hello Kitty EDT 100ml,Itzy,ITZY,100,edt,edt,,,https://preunic.cl/products/perfume-itzy-hello-kitty-edt-100-ml,https://www.maicao.cl/perfume-hello-kitty-edt-100ml/CLMC_570232.html,at_sample_time
48,same_name,0.998,Perfume Mujer Antonio Banderas Blue Seduction Summer Essence EDT100 Ml,Perfume Mujer Blue Seduction Summer Essence EDT 100ml,Antonio Banderas,ANTONIO BANDERAS,100,,edt,,,https://preunic.cl/products/perfume-mujer-antonio-banderas-blue-seduction-summer-essence-edt100-ml,https://www.maicao.cl/perfume-mujer-blue-seduction-summer-essence-edt-100ml/CLMC_565582.html,at_sample_time
49,same_name,0.969,Perfume Mujer Aura Violet Etienne 100 Ml,Eau De Parfum Aura Violette 100 Ml,Etienne,ETIENNE,100,edp,edp,,,https://preunic.cl/products/perfume-mujer-aura-violet-etienne-100-ml,https://www.maicao.cl/eau-de-parfum-aura-violette-100-ml/CLMC_576848.html,at_sample_time
50,same_name,0.959,Perfume Mujer Hot In Gold 80 ml Plaisance,Hot In Gold Eau de Parfum de 80 mL,Plaisance,PLAISANCE,80,edp,edp,,,https://preunic.cl/products/perfume-hot-in-gold-para-mujer,https://www.maicao.cl/hot-in-gold-eau-de-parfum-de-80-ml/CLMC_286054.html,at_sample_time
51,same_name,0.969,Perfume Mujer Plaisance Hot Blossom EDP 100 Ml,Perfume Hot Blossom EDP 100 ml,Plaisance,PLAISANCE,100,edp,edp,,,https://preunic.cl/products/perfume-mujer-plaisance-hot-blossom-edp-100-ml,https://www.maicao.cl/perfume-hot-blossom-edp-100-ml/CLMC_556463.html,at_sample_time
52,same_name,0.998,Perfume Mujer Shakira Amarillo EDP 50 Ml,Shakira Perfume Mujer Amarillo EDP 50ml,Shakira,SHAKIRA,50,edp,edp,,,https://preunic.cl/products/perfume-mujer-shakira-amarillo-edp-50-ml,https://www.maicao.cl/shakira-perfume-mujer-amarillo-edp-50ml/CLMC_570596.html,at_sample_time
53,same_name,1.000,Perfume Mujer She Is EDP 100 ml,Perfume Mujer She Is EDP 100 ml,Benjamin Vicuña,BENJAMIN VICUÑA,100,edp,edp,,,https://preunic.cl/products/perfume-mujer-she-is-edp-100-ml,https://www.maicao.cl/perfume-mujer-she-is-edp-100-ml/CLMC_578354.html,at_sample_time
54,same_name,0.982,Perfume Plaisance Hotphoria Happy Mujer EDP 80 Ml,Perfume Hotphoria Happy EDP 80ml,Plaisance,PLAISANCE,80,edp,edp,,,https://preunic.cl/products/perfume-plaisance-hotphoria-happy-mujer-edp-80-ml,https://www.maicao.cl/perfume-hotphoria-happy-edp-80ml/CLMC_561261.html,at_sample_time
55,same_name,0.982,Perfume Plaisance Hotphoria Peace Mujer EDP 80 Ml,Perfume Hotphoria Peace EDP 80ml,Plaisance,PLAISANCE,80,edp,edp,,,https://preunic.cl/products/perfume-plaisance-hotphoria-peace-mujer-edp-80-ml,https://www.maicao.cl/perfume-hotphoria-peace-edp-80ml/CLMC_561265.html,at_sample_time
56,same_name,0.971,Perfume Shakira 50 ml,Shakira Eau Toilette 50 mL,Shakira,SHAKIRA,50,edp,,,,https://preunic.cl/products/perfume-shakira,https://www.maicao.cl/shakira-eau-toilette-50-ml/CLMC_262258.html,at_sample_time
57,same_name,0.969,Perfume Shakira Dance Stellar EDT 80 Ml,Dance Stellar Eau de Toilette 80 ml,Shakira,SHAKIRA,80,edt,edt,,,https://preunic.cl/products/perfume-shakira-dance-stellar-edt-80-ml,https://www.maicao.cl/dance-stellar-eau-de-toilette-80-ml/CLMC_576470.html,at_sample_time
58,same_name,0.979,Perfume mujer Love Love Love Agatha Ruiz de la Prada Eau de Toilette 50 ml,Love Love Love Eau Toilette 50 mL,Agatha ruiz de la prada,AGATHA RUIZ DE LA PRADA,50,edt,,,,https://preunic.cl/products/perfume-mujer-love-love-love-agatha-ruiz-de-la-prada-eau-de-toilette-50-ml,https://www.maicao.cl/love-love-love-eau-toilette-50-ml/CLMC_264577.html,at_sample_time
59,same_name,0.966,Piero Butti Eau de Toilette Vendetta 100 ml,Perfume Hombre Vendetta 100 mL,Piero Butti,PIERO BUTTI,100,edt,,,,https://preunic.cl/products/piero-butti-eau-de-toilette-vendetta-100-ml,https://www.maicao.cl/perfume-hombre-vendetta-100-ml/CLMC_295026.html,at_sample_time
60,same_name,0.954,Piero Butti Eau de Toilette il Capo 100 ml,Perfume de Hombre ll Capo 100 mL,PIERO BUTTI,PIERO BUTTI,100,edt,,,,https://preunic.cl/products/piero-butti-eau-de-toilette-il-capo-100-ml,https://www.maicao.cl/perfume-de-hombre-ll-capo-100-ml/CLMC_391202.html,at_sample_time
61,same_name,0.986,QUORUM Eau de Toilette de 100ml,Quorum Eau De Toilette Spray de 100 mL,Quorum,QUORUM,100,edt,edt,,,https://preunic.cl/products/quorum-eau-de-toilette,https://www.maicao.cl/quorum-eau-de-toilette-spray-de-100-ml/CLMC_124121.html,at_sample_time
62,same_name,0.985,Set Eminence Sport Edp 100Ml + Desodorante Spray 160Ml,Set Sport Eau de Parfum 100 mL + Desodorante Spray 160 mL,Eminence,EMINENCE,100,edp,edp,,,https://preunic.cl/products/set-eminence-sport-edp-100ml-desodorante-spray-160ml,https://www.maicao.cl/set-sport-eau-de-parfum-100-ml-desodorante-spray-160-ml/CLMC_552234.html,at_sample_time
63,same_name,0.979,Shakira Dance Midnight Muse EDT 50 ML,Dance Midnight Muse 2022 EDT 50ml,Shakira,SHAKIRA,50,edt,edt,,,https://preunic.cl/products/shakira-dance-midnight-muse-edt-50-ml,https://www.maicao.cl/dance-midnight-muse-2022-edt-50ml/CLMC_536017.html,at_sample_time
64,same_name,0.962,Skr Perfume Dance Red Midnight 2021 Edt 50Ml,Fragancia Shakira Dance Red Midnight  Edt 50 mL,Shakira,SHAKIRA,50,edt,edt,,,https://preunic.cl/products/skr-perfume-dance-red-midnight-2021-edt-50ml,https://www.maicao.cl/fragancia-shakira-dance-red-midnight-edt-50-ml/CLMC_391624.html,at_sample_time
65,same_name,0.996,Touch Hair & Body Mist Etienne Paradise 240ML,Paradise Touch Hair & Body Mist 240Ml,Etienne,ETIENNE,240,,,,,https://preunic.cl/products/touch-hair-body-mist-etienne-paradise-240ml,https://www.maicao.cl/paradise-touch-hair-and-body-mist-240ml/CLMC_585825.html,at_sample_time
66,same_name,0.932,"Azzurro, Eau de Toillette de Hombre",Azzurro Eau de Toilette de 100 mL,Piero Butti,PIERO BUTTI,100,edt,edt,,,https://preunic.cl/products/azzurro-eau-de-toillette-de-hombre,https://www.maicao.cl/azzurro-eau-de-toilette-de-100-ml/CLMC_266082.html,added_by_new_volume
67,same_name,0.950,Eau de Toilette DANCE DIAMONDSÂ Â,Dance Diamonds Eau Toilette 50 mL,Shakira,SHAKIRA,50,edt,,,,https://preunic.cl/products/eau-de-toilette-dance-diamondsa-a,https://www.maicao.cl/dance-diamonds-eau-toilette-50-ml/CLMC_288749.html,added_by_new_volume
68,same_name,0.928,Eau de Toilette DANCE EDT,Eau de Toilette Dance 50 mL,Shakira,SHAKIRA,50,edt,edt,,,https://preunic.cl/products/eau-de-toilette-dance-edt,https://www.maicao.cl/eau-de-toilette-dance-50-ml/CLMC_276929.html,added_by_new_volume
69,same_name,0.970,Eau de Toilette FLOR,Eau de Toilette Flor 50 mL,Agatha Ruiz de la Prada,AGATHA RUIZ DE LA PRADA,50,edt,edt,,,https://preunic.cl/products/eau-de-toilette-flor,https://www.maicao.cl/eau-de-toilette-flor-50-ml/CLMC_124200.html,added_by_new_volume
70,same_name,0.960,Eau de Toilette HER SECRET TEMPTATION,Eau de Toilette Her Secret Temptation de 50 mL,Antonio Banderas,ANTONIO BANDERAS,50,edt,edt,,,https://preunic.cl/products/eau-de-toilette-her-secret-temptation,https://www.maicao.cl/eau-de-toilette-her-secret-temptation-de-50-ml/CLMC_287577.html,added_by_new_volume
71,same_name,0.959,Eau de Toilette KING OF SEDUCTION,King Of Seduction Eau de Toilette de  50 mL,Antonio Banderas,ANTONIO BANDERAS,50,edt,edt,,,https://preunic.cl/products/eau-de-toilette-king-of-seduction,https://www.maicao.cl/king-of-seduction-eau-de-toilette-de-50-ml/CLMC_271316.html,added_by_new_volume
72,same_name,0.962,Eau de Toilette QUEEN OF SEDUCTION,Eau De Toilette Queen of Seduction 50 mL,Antonio Banderas,ANTONIO BANDERAS,50,edt,edt,,,https://preunic.cl/products/eau-de-toilette-queen-of-seduction,https://www.maicao.cl/eau-de-toilette-queen-of-seduction-50-ml/CLMC_275571.html,added_by_new_volume
73,same_name,0.939,Fragancia Beso,Beso Eau Toilette 50 mL,Agatha Ruiz de la Prada,AGATHA RUIZ DE LA PRADA,50,,,,,https://preunic.cl/products/fragancia-beso,https://www.maicao.cl/beso-eau-toilette-50-ml/CLMC_257008.html,added_by_new_volume
74,same_name,0.947,Fragancia blue seduction women,Blue Seduction Woman 200 mL,Antonio Banderas,ANTONIO BANDERAS,200,edt,,,,https://preunic.cl/products/fragancia-blue-seduction-women,https://www.maicao.cl/blue-seduction-woman-200-ml/CLMC_275500.html,added_by_new_volume
75,same_name,0.931,Fragancia masculina Acqua,Eau De Parfum Acqua 100 mL,Eminence,EMINENCE,100,edp,edp,,,https://preunic.cl/products/fragancia-masculina-acqua,https://www.maicao.cl/eau-de-parfum-acqua-100-ml/CLMC_251964.html,added_by_new_volume
76,same_name,0.895,Pefume Mediterraneo,Mediterráneo Eau de Toilette de 100 mL,Antonio Banderas,ANTONIO BANDERAS,100,,edt,,,https://preunic.cl/products/pefume-mediterraneo,https://www.maicao.cl/mediterraneo-eau-de-toilette-de-100-ml/CLMC_124196.html,added_by_new_volume
77,same_name,0.912,Perfume Agua Brava,Eau De Cologne 200 mL,Agua Brava,AGUA BRAVA,200,,cologne,,,https://preunic.cl/products/perfume-agua-brava,https://www.maicao.cl/eau-de-cologne-200-ml/CLMC_124002.html,added_by_new_volume
78,same_name,0.932,Perfume Diavolo para hombre,Eau De Toilette Diavolo 50 mL,Antonio Banderas,ANTONIO BANDERAS,50,,edt,,,https://preunic.cl/products/perfume-diavolo-para-hombre,https://www.maicao.cl/eau-de-toilette-diavolo-50-ml/CLMC_124154.html,added_by_new_volume
79,same_name,0.957,Perfume Hombre Piero Butti Ultimate EDP,Perfume Ultimate Piero Butti EDP 100 ml,Piero Butti,PIERO BUTTI,100,edp,edp,,,https://preunic.cl/products/perfume-hombre-piero-butti-ultimate-edp,https://www.maicao.cl/perfume-ultimate-piero-butti-edp-100-ml/CLMC_557356.html,added_by_new_volume
80,same_name,0.962,Perfume Mediterráneo Eau de Toilette,Eau de Toilette Mediterráneo 50 mL,Antonio Banderas,ANTONIO BANDERAS,50,edt,edt,,,https://preunic.cl/products/perfume-mediterraneo-eau-de-toilette,https://www.maicao.cl/eau-de-toilette-mediterraneo-50-ml/CLMC_124202.html,added_by_new_volume
81,same_name,0.915,Perfume Mujer Hot Sensation Plaisance,Eau de Parfum Hot Sensation de 80 mL,Plaisance,PLAISANCE,80,edp,edp,,,https://preunic.cl/products/perfume-hot-sensation-para-mujer,https://www.maicao.cl/eau-de-parfum-hot-sensation-de-80-ml/CLMC_258318.html,added_by_new_volume
82,same_name,0.918,Perfume The Golden Secret,Eau de Toilette The Golden Secret 50 mL,Antonio Banderas,ANTONIO BANDERAS,50,,edt,,,https://preunic.cl/products/perfume-the-golden-secret,https://www.maicao.cl/eau-de-toilette-the-golden-secret-50-ml/CLMC_264579.html,added_by_new_volume
83,same_name,0.906,Perfume The Secret,The Secret Eau de Toilette de 50 mL,Antonio Banderas,ANTONIO BANDERAS,50,edt,edt,,,https://preunic.cl/products/perfume-the-secret,https://www.maicao.cl/the-secret-eau-de-toilette-de-50-ml/CLMC_262215.html,added_by_new_volume
84,same_name,0.922,Perfume hot sexy para mujer,Eau de Parfum Hot Sexy 80 mL,Plaisance,PLAISANCE,80,edp,edp,,,https://preunic.cl/products/perfume-hot-sexy-para-mujer,https://www.maicao.cl/eau-de-parfum-hot-sexy-80-ml/CLMC_266218.html,added_by_new_volume
85,same_name,0.935,"Piero Red, Eau de Toillette de Hombre",Eau de Toilette Piero Red  100 mL,Piero Butti,PIERO BUTTI,100,edt,edt,,,https://preunic.cl/products/piero-red-eau-de-toillette-de-hombre,https://www.maicao.cl/eau-de-toilette-piero-red-100-ml/CLMC_272886.html,added_by_new_volume
